original_path,stego_path,method,secret_message
Images/new_img5351.jpg,stego_final/lsb_1.jpg,lsb,[SR] Remember that hope is a good thing.
Images/new_img1584.jpg,stego_final/lsb_2.jpg,lsb,"[LOTR] The board is set, the pieces are moving."
Images/new_img4669.jpg,stego_final/lsb_3.jpg,lsb,"[HP] Fawkes is a phoenix, Harry."
Images/img236.jpg,stego_final/lsb_4.jpg,lsb,[AV] Wakanda forever!
Images/newimg681.jpg,stego_final/lsb_5.jpg,lsb,"[AV] If we can’t protect the Earth, we’ll avenge it."
Images/new_img2971.jpg,stego_final/lsb_6.jpg,lsb,"[LOTR] The Grey Pilgrim, that’s what they used to call me."
Images/new_img940.jpg,stego_final/lsb_7.jpg,lsb,"[SW] Now, young Skywalker, you will die."
Images/new_img3540.jpg,stego_final/lsb_8.jpg,lsb,[HP] Time is making fools of us again.
Images/new_img1129.jpg,stego_final/lsb_9.jpg,lsb,"[SR] Sometimes it makes me sad, though."
Images/new_img5392.jpg,stego_final/lsb_10.jpg,lsb,[SR] A man’s got to have something to keep him sane.
Images/new_img5993.jpg,stego_final/lsb_11.jpg,lsb,[SR] They can’t touch the music.
Images/img471.jpg,stego_final/lsb_12.jpg,lsb,[LOTR] All we have to decide is what to do with the time given us.
Images/new_img655.jpg,stego_final/lsb_13.jpg,lsb,[SW] That’s not how the Force works!
Images/new_img6068.jpg,stego_final/lsb_14.jpg,lsb,[AV] I can do this all day.
Images/new_img3643.jpg,stego_final/lsb_15.jpg,lsb,[HP] I solemnly swear I am up to no good.
Images/new_img3221.jpg,stego_final/lsb_16.jpg,lsb,[HP] Dumbledore’s got style.
Images/new_img1769.jpg,stego_final/lsb_17.jpg,lsb,[SW] I hate sand. It’s coarse and rough.
Images/new_img3744.jpg,stego_final/lsb_18.jpg,lsb,[SW] I hate sand. It’s coarse and rough.
Images/img311.jpg,stego_final/lsb_19.jpg,lsb,[SR] He strolled like a man in a park.
Images/newimg14.jpg,stego_final/lsb_20.jpg,lsb,[AV] I am inevitable.
Images/new_img6868.jpg,stego_final/lsb_21.jpg,lsb,[HP] Greatness inspires envy.
Images/newimg924.jpg,stego_final/lsb_22.jpg,lsb,[SR] The world went and got itself in a big hurry.
Images/new_img4406.jpg,stego_final/lsb_23.jpg,lsb,"[AV] I’m made of rocks, as you can see."
Images/newimg462.jpg,stego_final/lsb_24.jpg,lsb,[LOTR] The Eye of the enemy is moving.
Images/new_img2604.jpg,stego_final/lsb_25.jpg,lsb,[AV] Is that the best you can do?
Images/img12.jpg,stego_final/lsb_26.jpg,lsb,[LOTR] I am no man!
Images/img247.jpg,stego_final/lsb_27.jpg,lsb,"[AV] Dread it, run from it, destiny arrives all the same."
Images/new_img2607.jpg,stego_final/lsb_28.jpg,lsb,[SR] The Pacific Ocean has no memory.
Images/img365.jpg,stego_final/lsb_29.jpg,lsb,[SR] They can’t touch the music.
Images/new_img6790.jpg,stego_final/lsb_30.jpg,lsb,[SR] That’s the best part of me left in me.
Images/newimg1288.jpg,stego_final/lsb_31.jpg,lsb,[AV] I’m with you till the end of the line.
Images/new_img1895.jpg,stego_final/lsb_32.jpg,lsb,[HP] Until the very end.
Images/new_img3783.jpg,stego_final/lsb_33.jpg,lsb,"[HP] Yer a wizard, Harry."
Images/new_img3320.jpg,stego_final/lsb_34.jpg,lsb,[SR] That’s the beauty of music.
Images/new_img4895.jpg,stego_final/lsb_35.jpg,lsb,[AV] You could not live with your own failure.
Images/new_img3006.jpg,stego_final/lsb_36.jpg,lsb,[SW] Let the past die. Kill it if you have to.
Images/new_img539.jpg,stego_final/lsb_37.jpg,lsb,[SW] I find your lack of faith disturbing.
Images/new_img4881.jpg,stego_final/lsb_38.jpg,lsb,[HP] The ones that love us never really leave us.
Images/new_img5560.jpg,stego_final/lsb_39.jpg,lsb,[LOTR] I think I broke something.
Images/new_img6414.jpg,stego_final/lsb_40.jpg,lsb,[SW] Never tell me the odds.
Images/new_img3840.jpg,stego_final/lsb_41.jpg,lsb,[LOTR] A day may come when the courage of men fails.
Images/new_img97.jpg,stego_final/lsb_42.jpg,lsb,[SW] A Jedi uses the Force for knowledge and defense.
Images/new_img1727.jpg,stego_final/lsb_43.jpg,lsb,[SR] There’s something inside that they can’t get to.
Images/new_img4583.jpg,stego_final/lsb_44.jpg,lsb,[AV] I’m just a kid from Brooklyn.
Images/new_img2336.jpg,stego_final/lsb_45.jpg,lsb,[LOTR] The shadow does not hold sway yet.
Images/new_img779.jpg,stego_final/lsb_46.jpg,lsb,[AV] If you’re nothing without the suit...
Images/new_img3410.jpg,stego_final/lsb_47.jpg,lsb,[AV] We create our own demons.
Images/new_img1494.jpg,stego_final/lsb_48.jpg,lsb,[SR] I guess I just miss my friend.
Images/newimg1129.jpg,stego_final/lsb_49.jpg,lsb,[HP] It’s our choices that show what we truly are.
Images/new_img2030.jpg,stego_final/lsb_50.jpg,lsb,"[SR] He fought the good fight, and the sisters never laid a finger on him again."
Images/newimg1143.jpg,stego_final/lsb_51.jpg,lsb,"[HP] If you’re holding out for universal popularity, you’ll be in this cabin a long time."
Images/new_img1000.jpg,stego_final/lsb_52.jpg,lsb,"[HP] Fawkes is a phoenix, Harry."
Images/new_img3867.jpg,stego_final/lsb_53.jpg,lsb,"[SR] Some places are like that, though: big old bones."
Images/newimg902.jpg,stego_final/lsb_54.jpg,lsb,[SW] This is the way.
Images/new_img6146.jpg,stego_final/lsb_55.jpg,lsb,[SR] I guess I just miss my friend.
Images/new_img5941.jpg,stego_final/lsb_56.jpg,lsb,"[AV] Genius, billionaire, playboy, philanthropist."
Images/newimg255.jpg,stego_final/lsb_57.jpg,lsb,[AV] We’re in the endgame now.
Images/new_img6093.jpg,stego_final/lsb_58.jpg,lsb,"[SW] The greatest teacher, failure is."
Images/new_img2505.jpg,stego_final/lsb_59.jpg,lsb,[SW] A Jedi uses the Force for knowledge and defense.
Images/newimg263.jpg,stego_final/lsb_60.jpg,lsb,"[SR] He fought the good fight, and the sisters never laid a finger on him again."
Images/img654.jpg,stego_final/lsb_61.jpg,lsb,[LOTR] There is no curse in Elvish for this treachery.
Images/img289.jpg,stego_final/lsb_62.jpg,lsb,[SW] The Force is not about lifting rocks.
Images/new_img6302.jpg,stego_final/lsb_63.jpg,lsb,[SW] Women always figure out the truth.
Images/new_img4637.jpg,stego_final/lsb_64.jpg,lsb,[LOTR] I will not say do not weep.
Images/new_img4272.jpg,stego_final/lsb_65.jpg,lsb,[LOTR] That is no trinket you carry.
Images/new_img5443.jpg,stego_final/lsb_66.jpg,lsb,[SW] Someday I will be the most powerful Jedi ever.
Images/newimg208.jpg,stego_final/lsb_67.jpg,lsb,[SR] Hope is a dangerous thing. Drive a man insane.
Images/newimg834.jpg,stego_final/lsb_68.jpg,lsb,"[AV] Another happy landing. (Wrong franchise, sorry.)"
Images/new_img6244.jpg,stego_final/lsb_69.jpg,lsb,[AV] I’m with you till the end of the line.
Images/new_img1214.jpg,stego_final/lsb_70.jpg,lsb,"[SR] Brooks was here, so was Red."
Images/new_img857.jpg,stego_final/lsb_71.jpg,lsb,"[LOTR] There will come a time, but it is not now."
Images/new_img6445.jpg,stego_final/lsb_72.jpg,lsb,[SR] Salvation lies within.
Images/new_img4374.jpg,stego_final/lsb_73.jpg,lsb,[SW] Never tell me the odds!
Images/new_img6941.jpg,stego_final/lsb_74.jpg,lsb,[LOTR] The Eye of the enemy is moving.
Images/new_img3866.jpg,stego_final/lsb_75.jpg,lsb,[AV] I love you 3000.
Images/new_img6322.jpg,stego_final/lsb_76.jpg,lsb,[LOTR] There's some good in this world.
Images/img621.jpg,stego_final/lsb_77.jpg,lsb,[AV] Bring me Thanos!
Images/new_img3532.jpg,stego_final/lsb_78.jpg,lsb,"[HP] It matters not what someone is born, but what they grow to be."
Images/new_img2987.jpg,stego_final/lsb_79.jpg,lsb,"[HP] Let us step into the night and pursue that flighty temptress, adventure."
Images/newimg1062.jpg,stego_final/lsb_80.jpg,lsb,[LOTR] You shall not pass!
Images/new_img1356.jpg,stego_final/lsb_81.jpg,lsb,[LOTR] There is no curse in Elvish for this treachery.
Images/newimg776.jpg,stego_final/lsb_82.jpg,lsb,[AV] Underoos!
Images/new_img1963.jpg,stego_final/lsb_83.jpg,lsb,"[HP] Let us step into the night and pursue that flighty temptress, adventure."
Images/new_img1604.jpg,stego_final/lsb_84.jpg,lsb,"[HP] Don’t pity the dead, Harry. Pity the living."
Images/new_img3665.jpg,stego_final/lsb_85.jpg,lsb,[HP] It’s our choices that show what we truly are.
Images/new_img541.jpg,stego_final/lsb_86.jpg,lsb,[SW] Never tell me the odds!
Images/new_img5627.jpg,stego_final/lsb_87.jpg,lsb,"[AV] Another happy landing. (Wrong franchise, sorry.)"
Images/new_img1597.jpg,stego_final/lsb_88.jpg,lsb,[SW] I placed vital info in this R2 unit.
Images/newimg1169.jpg,stego_final/lsb_89.jpg,lsb,"[SR] You better start making sense, kid."
Images/newimg583.jpg,stego_final/lsb_90.jpg,lsb,[LOTR] That day is not this day.
Images/new_img4913.jpg,stego_final/lsb_91.jpg,lsb,[AV] We’re the guardians of the galaxy.
Images/new_img6486.jpg,stego_final/lsb_92.jpg,lsb,[LOTR] One ring to rule them all.
Images/newimg812.jpg,stego_final/lsb_93.jpg,lsb,"[SR] The bars slam home, that’s when you know it’s for real."
Images/new_img4506.jpg,stego_final/lsb_94.jpg,lsb,[LOTR] There is no life in the void.
Images/new_img2437.jpg,stego_final/lsb_95.jpg,lsb,[LOTR] There's some good in this world.
Images/new_img48.jpg,stego_final/lsb_96.jpg,lsb,[LOTR] Even the very wise cannot see all ends.
